# mcMMO 2.3.000 command applicability for FabricMMO Minecraft 1.21.1
# root	status	reason
mmoxpbar	UNVERIFIED	Applicable command root; runtime parity requires evidence
mmodebug	UNVERIFIED	Applicable command root; runtime parity requires evidence
mmoinfo	UNVERIFIED	Applicable command root; runtime parity requires evidence
xprate	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcmmo	UNVERIFIED	Applicable command root; runtime parity requires evidence
mctop	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcrank	UNVERIFIED	Applicable command root; runtime parity requires evidence
addxp	UNVERIFIED	Applicable command root; runtime parity requires evidence
addlevels	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcability	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcrefresh	UNVERIFIED	Applicable command root; runtime parity requires evidence
mccooldown	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcchatspy	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcgod	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcstats	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcremove	UNVERIFIED	Applicable command root; runtime parity requires evidence
mmoedit	UNVERIFIED	Applicable command root; runtime parity requires evidence
ptp	UNVERIFIED	Applicable command root; runtime parity requires evidence
party	UNVERIFIED	Applicable command root; runtime parity requires evidence
inspect	UNVERIFIED	Applicable command root; runtime parity requires evidence
mmoshowdb	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcconvert	UNVERIFIED	Applicable command root; runtime parity requires evidence
partychat	UNVERIFIED	Applicable command root; runtime parity requires evidence
skillreset	UNVERIFIED	Applicable command root; runtime parity requires evidence
excavation	UNVERIFIED	Applicable command root; runtime parity requires evidence
herbalism	UNVERIFIED	Applicable command root; runtime parity requires evidence
mining	UNVERIFIED	Applicable command root; runtime parity requires evidence
woodcutting	UNVERIFIED	Applicable command root; runtime parity requires evidence
axes	UNVERIFIED	Applicable command root; runtime parity requires evidence
archery	UNVERIFIED	Applicable command root; runtime parity requires evidence
crossbows	UNVERIFIED	Applicable command root; runtime parity requires evidence
swords	UNVERIFIED	Applicable command root; runtime parity requires evidence
taming	UNVERIFIED	Applicable command root; runtime parity requires evidence
tridents	UNVERIFIED	Applicable command root; runtime parity requires evidence
unarmed	UNVERIFIED	Applicable command root; runtime parity requires evidence
acrobatics	UNVERIFIED	Applicable command root; runtime parity requires evidence
repair	UNVERIFIED	Applicable command root; runtime parity requires evidence
fishing	UNVERIFIED	Applicable command root; runtime parity requires evidence
smelting	UNVERIFIED	Applicable command root; runtime parity requires evidence
spears	NOT_APPLICABLE	Vanilla spear content is absent from Minecraft 1.21.1
alchemy	UNVERIFIED	Applicable command root; runtime parity requires evidence
salvage	UNVERIFIED	Applicable command root; runtime parity requires evidence
maces	UNVERIFIED	Applicable command root; runtime parity requires evidence
mmopower	UNVERIFIED	Applicable command root; runtime parity requires evidence
adminchat	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcpurge	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcnotify	UNVERIFIED	Applicable command root; runtime parity requires evidence
mclevelupsound	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcscoreboard	UNVERIFIED	Applicable command root; runtime parity requires evidence
mcmmoreloadlocale	UNVERIFIED	Applicable command root; runtime parity requires evidence
