# mcMMO 2.3.000 SubSkillType inventory at 2b855372a2856f68630a4f36866f59de95539184
# enum	parent	configName	ranks	applicableToMinecraft1.21.1
ACROBATICS_DODGE	Acrobatics	Dodge	1	true
ACROBATICS_ROLL	Acrobatics	Roll	0	true
ALCHEMY_CATALYSIS	Alchemy	Catalysis	1	true
ALCHEMY_CONCOCTIONS	Alchemy	Concoctions	8	true
ARCHERY_ARROW_RETRIEVAL	Archery	ArrowRetrieval	1	true
ARCHERY_DAZE	Archery	Daze	0	true
ARCHERY_SKILL_SHOT	Archery	SkillShot	20	true
ARCHERY_ARCHERY_LIMIT_BREAK	Archery	ArcheryLimitBreak	10	true
AXES_ARMOR_IMPACT	Axes	ArmorImpact	20	true
AXES_AXE_MASTERY	Axes	AxeMastery	4	true
AXES_AXES_LIMIT_BREAK	Axes	AxesLimitBreak	10	true
AXES_CRITICAL_STRIKES	Axes	CriticalStrikes	1	true
AXES_GREATER_IMPACT	Axes	GreaterImpact	1	true
AXES_SKULL_SPLITTER	Axes	SkullSplitter	1	true
CROSSBOWS_CROSSBOWS_LIMIT_BREAK	Crossbows	CrossbowsLimitBreak	10	true
CROSSBOWS_TRICK_SHOT	Crossbows	TrickShot	3	true
CROSSBOWS_POWERED_SHOT	Crossbows	PoweredShot	20	true
EXCAVATION_ARCHAEOLOGY	Excavation	Archaeology	8	true
EXCAVATION_GIGA_DRILL_BREAKER	Excavation	GigaDrillBreaker	1	true
FISHING_FISHERMANS_DIET	Fishing	FishermansDiet	5	true
FISHING_ICE_FISHING	Fishing	IceFishing	1	true
FISHING_MAGIC_HUNTER	Fishing	MagicHunter	1	true
FISHING_MASTER_ANGLER	Fishing	MasterAngler	8	true
FISHING_TREASURE_HUNTER	Fishing	TreasureHunter	8	true
FISHING_SHAKE	Fishing	Shake	8	true
HERBALISM_DOUBLE_DROPS	Herbalism	DoubleDrops	1	true
HERBALISM_VERDANT_BOUNTY	Herbalism	VerdantBounty	1	true
HERBALISM_FARMERS_DIET	Herbalism	FarmersDiet	5	true
HERBALISM_GREEN_TERRA	Herbalism	GreenTerra	1	true
HERBALISM_GREEN_THUMB	Herbalism	GreenThumb	4	true
HERBALISM_HYLIAN_LUCK	Herbalism	HylianLuck	0	true
HERBALISM_SHROOM_THUMB	Herbalism	ShroomThumb	0	true
MACES_MACES_LIMIT_BREAK	Maces	MacesLimitBreak	10	true
MACES_CRUSH	Maces	Crush	4	true
MACES_CRIPPLE	Maces	Cripple	4	true
MINING_BIGGER_BOMBS	Mining	BiggerBombs	1	true
MINING_BLAST_MINING	Mining	BlastMining	8	true
MINING_DEMOLITIONS_EXPERTISE	Mining	DemolitionsExpertise	1	true
MINING_DOUBLE_DROPS	Mining	DoubleDrops	1	true
MINING_SUPER_BREAKER	Mining	SuperBreaker	1	true
MINING_MOTHER_LODE	Mining	MotherLode	1	true
REPAIR_ARCANE_FORGING	Repair	ArcaneForging	8	true
REPAIR_REPAIR_MASTERY	Repair	RepairMastery	1	true
REPAIR_SUPER_REPAIR	Repair	SuperRepair	1	true
SALVAGE_SCRAP_COLLECTOR	Salvage	ScrapCollector	8	true
SALVAGE_ARCANE_SALVAGE	Salvage	ArcaneSalvage	8	true
SMELTING_FUEL_EFFICIENCY	Smelting	FuelEfficiency	3	true
SMELTING_SECOND_SMELT	Smelting	SecondSmelt	0	true
SMELTING_UNDERSTANDING_THE_ART	Smelting	UnderstandingTheArt	8	true
SPEARS_SPEARS_LIMIT_BREAK	Spears	SpearsLimitBreak	10	false
SPEARS_MOMENTUM	Spears	Momentum	10	false
SPEARS_SPEAR_MASTERY	Spears	SpearMastery	8	false
SWORDS_COUNTER_ATTACK	Swords	CounterAttack	1	true
SWORDS_RUPTURE	Swords	Rupture	4	true
SWORDS_SERRATED_STRIKES	Swords	SerratedStrikes	1	true
SWORDS_STAB	Swords	Stab	2	true
SWORDS_SWORDS_LIMIT_BREAK	Swords	SwordsLimitBreak	10	true
TAMING_BEAST_LORE	Taming	BeastLore	1	true
TAMING_CALL_OF_THE_WILD	Taming	CallOfTheWild	1	true
TAMING_ENVIRONMENTALLY_AWARE	Taming	EnvironmentallyAware	1	true
TAMING_FAST_FOOD_SERVICE	Taming	FastFoodService	1	true
TAMING_GORE	Taming	Gore	1	true
TAMING_HOLY_HOUND	Taming	HolyHound	1	true
TAMING_PUMMEL	Taming	Pummel	1	true
TAMING_SHARPENED_CLAWS	Taming	SharpenedClaws	1	true
TAMING_SHOCK_PROOF	Taming	ShockProof	1	true
TAMING_THICK_FUR	Taming	ThickFur	1	true
TRIDENTS_IMPALE	Tridents	Impale	10	true
TRIDENTS_TRIDENTS_LIMIT_BREAK	Tridents	TridentsLimitBreak	10	true
UNARMED_ARROW_DEFLECT	Unarmed	ArrowDeflect	1	true
UNARMED_BERSERK	Unarmed	Berserk	1	true
UNARMED_BLOCK_CRACKER	Unarmed	BlockCracker	0	true
UNARMED_DISARM	Unarmed	Disarm	1	true
UNARMED_STEEL_ARM_STYLE	Unarmed	SteelArmStyle	20	true
UNARMED_IRON_GRIP	Unarmed	IronGrip	1	true
UNARMED_UNARMED_LIMIT_BREAK	Unarmed	UnarmedLimitBreak	10	true
WOODCUTTING_KNOCK_ON_WOOD	Woodcutting	KnockOnWood	2	true
WOODCUTTING_HARVEST_LUMBER	Woodcutting	HarvestLumber	1	true
WOODCUTTING_LEAF_BLOWER	Woodcutting	LeafBlower	1	true
WOODCUTTING_TREE_FELLER	Woodcutting	TreeFeller	1	true
WOODCUTTING_CLEAN_CUTS	Woodcutting	CleanCuts	1	true
